============================================ === === === ======
ATT_HandleValueCfm                           63  2   30  0xFD1E
GATT_ExchangeMTU                             63  3   2   0xFD82
GATT_DiscAllCharDescs                        63  3   4   0xFD84
GATT_DiscPrimaryServiceByUUID                63  3   6   0xFD86
GATT_DiscCharsByUUID                         63  3   8   0xFD88
GATT_ReadCharValue                           63  3   10  0xFD8A
GATT_ReadLongCharValue                       63  3   12  0xFD8C
GATT_ReadMultiCharValues                     63  3   14  0xFD8E
GATT_DiscAllPrimaryServices                  63  3   16  0xFD90
GATT_WriteCharValue                          63  3   18  0xFD92
GATT_WriteLongCharValue                      63  3   22  0xFD96
GATT_Notification                            63  3   27  0xFD9B
GATT_Indication                              63  3   29  0xFD9D
GATT_FindIncludedServices                    63  3   48  0xFDB0
GATT_DiscAllChars                            63  3   50  0xFDB2
GATT_ReadUsingCharUUID                       63  3   52  0xFDB4
GATT_WriteNoRsp                              63  3   54  0xFDB6
GATT_SignedWriteNoRsp                        63  3   56  0xFDB8
GATT_ReliableWrites                          63  3   58  0xFDBA
GATT_ReadCharDesc                            63  3   60  0xFDBC
GATT_ReadLongCharDesc                        63  3   62  0xFDBE
GATT_WriteCharDesc                           63  3   64  0xFDC0
GATT_WriteLongCharDesc                       63  3   66  0xFDC2
GATT_AddService                              63  3   124 0xFDFC
GATT_DelService                              63  3   125 0xFDFD
GATT_AddAttribute                            63  3   126 0xFDFE
GATT_UpdateMTU                               63  3   127 0xFDFF
GAP_DeviceInit                               63  4   0   0xFE00
GAP_TerminateLinkReq                         63  4   10  0xFE0A
GAP_Authenticate                             63  4   11  0xFE0B
GAP_PasskeyUpdate                            63  4   12  0xFE0C
GAP_SlaveSecurityRequest                     63  4   13  0xFE0D
GAP_Signable                                 63  4   14  0xFE0E
GAP_Bond                                     63  4   15  0xFE0F
GAP_TerminateAuth                            63  4   16  0xFE10
GAP_UpdateLinkParamReq                       63  4   17  0xFE11
GAP_UpdateLinkParamReqReply                  63  4   18  0xFE12
Gap_RegisterConnEvent                        63  4   19  0xFE13
GapConfig_SetParameter                       63  4   47  0xFE2F
GAP_SetParamValue                            63  4   48  0xFE30
GAP_GetParamValue                            63  4   49  0xFE31
GAPBondMgr_SetParameter                      63  4   54  0xFE36
GAPBondMgr_GetParameter                      63  4   55  0xFE37
GAPBondMgr_ServiceChangeInd                  63  4   56  0xFE38
SM_RegisterTask                              63  4   57  0xFE39
SM_GetEccKeys                                63  4   58  0xFE3A
SM_GetDHKey                                  63  4   59  0xFE3B
SM_GetScConfirmOob                           63  4   60  0xFE3C
GapAdv_create                                63  4   62  0xFE3E
GapAdv_enable                                63  4   63  0xFE3F
GapAdv_disable                               63  4   64  0xFE40
GapAdv_destroy                               63  4   65  0xFE41
GapAdv_setParam                              63  4   66  0xFE42
GapAdv_getParam                              63  4   67  0xFE43
GapAdv_loadData                              63  4   68  0xFE44
GapAdv_setEventMask                          63  4   69  0xFE45
GAPBondMgr_Pair                              63  4   72  0xFE48
GAPBondMgr_FindAddr                          63  4   73  0xFE49
GAPBondMgr_PasscodeRsp                       63  4   74  0xFE4A
GapScan_enable                               63  4   81  0xFE51
GapScan_disable                              63  4   82  0xFE52
GapScan_setPhyParams                         63  4   83  0xFE53
GapScan_getPhyParams                         63  4   84  0xFE54
GapScan_setParam                             63  4   85  0xFE55
GapScan_getParam                             63  4   86  0xFE56
GapScan_setEventMask                         63  4   87  0xFE57
GapScan_getAdvReport                         63  4   88  0xFE58
GapInit_setPhyParam                          63  4   96  0xFE60
GapInit_getPhyParam                          63  4   97  0xFE61
GapInit_connect                              63  4   98  0xFE62
GapInit_connectWl                            63  4   99  0xFE63
GapInit_cancelConnect                        63  4   100 0xFE64
UTIL_Reserved                                63  5   0   0xFE80
UTIL_NV_Read                                 63  5   1   0xFE81
UTIL_NV_Write                                63  5   2   0xFE82
UTIL_ForceBoot                               63  5   3   0xFE83
UTIL_BuildRevision                           63  5   4   0xFE84
UTIL_GetMemStats                             63  5   7   0xFE87
============================================ === === === ======

