============================================ ==== ==== === ===== ======
ATT_ReadByTypeReq                            0xFF 1    2   8     0x0508
ATT_ReadByTypeRsp                            0xFF 1    2   9     0x0509
ATT_ReadReq                                  0xFF 1    2   10    0x050A
ATT_ReadRsp                                  0xFF 1    2   11    0x050B
ATT_ReadBlobReq                              0xFF 1    2   12    0x050C
ATT_ReadBlobRsp                              0xFF 1    2   13    0x050D
ATT_ReadMultiReq                             0xFF 1    2   14    0x050E
ATT_ReadMultiRsp                             0xFF 1    2   15    0x050F
ATT_ReadByGrpTypeReq                         0xFF 1    2   16    0x0510
ATT_ReadByGrpTypeRsp                         0xFF 1    2   17    0x0511
ATT_WriteReq                                 0xFF 1    2   18    0x0512
ATT_WriteRsp                                 0xFF 1    2   19    0x0513
ATT_PrepareWriteReq                          0xFF 1    2   22    0x0516
ATT_PrepareWriteRsp                          0xFF 1    2   23    0x0517
ATT_ExecuteWriteReq                          0xFF 1    2   24    0x0518
ATT_ExecuteWriteRsp                          0xFF 1    2   25    0x0519
ATT_HandleValueNoti                          0xFF 1    2   27    0x051B
ATT_HandleValueInd                           0xFF 1    2   29    0x051D
ATT_HandleValueCfm                           0xFF 1    2   30    0x051E
ATT_FlowCtrlViolatedEvt_t                    0xFF 1    2   126   0x057E
ATT_MtuUpdatedEvt                            0xFF 1    2   127   0x057F
GATT_ClientCharCfgUpdated                    0xFF 1    3   0     0x0580
GAP_DeviceInitDone                           0xFF 1    4   0     0x0600
GAP_LinkEstablished                          0xFF 1    4   5     0x0605
GAP_LinkTerminated                           0xFF 1    4   6     0x0606
GAP_LinkParamUpdate                          0xFF 1    4   7     0x0607
GAP_SignatureUpdated                         0xFF 1    4   9     0x0609
GAP_AuthenticationComplete                   0xFF 1    4   10    0x060A
GAP_PasskeyNeeded                            0xFF 1    4   11    0x060B
GAP_SlaveRequestedSecurity                   0xFF 1    4   12    0x060C
GAP_BondComplete                             0xFF 1    4   14    0x060E
GAP_PairingRequested                         0xFF 1    4   15    0x060F
SM_GetEccKeys                                0xFF 1    4   16    0x0610
SM_GetDHKey                                  0xFF 1    4   17    0x0611
GAP_LinkParamUpdateRequest                   0xFF 1    4   18    0x0612
GAP_Advertiser/Scanner_Event                 0xFF 1    4   19    0x0613
GAP_ConnectingCancelled                      0xFF 1    4   21    0x0615
GAP_ConnectionEventNotice                    0xFF 1    4   22    0x0616
CommandStatus                                0xFF 1    4   127   0x067F
UTIL_GetMemStats                             0xFF 1    5   1     0x0681
UTIL_SystemError                             0xFF 1    5   2     0x0682
============================================ ==== ==== === ===== ======

